"Município de residência";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
" MUNICIPIO IGNORADO - SP";1;-;-;-;-;-;-;-;-;-;1;2
"350010 ADAMANTINA";40;1141;98;8;8;2085;1053;10;1333;3358;172;9306
"350020 ADOLFO";5;121;115;1;127;131;10;117;191;19;185;1022
"350030 AGUAI";545;2467;26;6;15;677;2128;21;10;12;598;6505
"350040 AGUAS DA PRATA";6;334;2;3;1;29;27;1;-;11;265;679
"350050 AGUAS DE LINDOIA";11;166;26;2;1;27;4;4;22;5;1362;1630
"350055 AGUAS DE SANTA BARBARA";7;16;2;-;-;12;-;29;50;8;692;816
"350060 AGUAS DE SAO PEDRO";90;32;5;1;-;8;21;11;25;1;160;354
"350070 AGUDOS";21;775;52;3;61;1671;39;17;260;2798;714;6411
"350075 ALAMBARI";8;19;4;1;1;5;3;115;1;2;132;291
"350080 ALFREDO MARCONDES";14;34;32;2;1;38;167;10;308;575;40;1221
"350090 ALTAIR";2;70;11;3;9;77;2;37;44;13;120;388
"350100 ALTINOPOLIS";2;76;25;3;-;22;27;8;12;52;592;819
"350110 ALTO ALEGRE";1;68;5;4;-;45;32;207;344;14;14;734
"350115 ALUMINIO";9;206;26;1;-;9;8;13;7;15;1061;1355
"350120 ALVARES FLORENCE";33;34;24;-;4;62;86;60;443;28;398;1172
"350130 ALVARES MACHADO";18;357;454;1;2;273;430;29;640;2124;56;4384
"350140 ALVARO DE CARVALHO";1;34;1;2;-;48;14;124;130;121;48;523
"350150 ALVINLANDIA";-;30;3;-;1;2;27;8;18;123;404;616
"350160 AMERICANA";9031;7554;1100;21;19;4884;711;439;4498;680;4905;33842
"350170 AMERICO BRASILIENSE";90;758;177;36;46;2721;33;29;3629;456;615;8590
"350180 AMERICO DE CAMPOS";64;67;15;4;6;377;274;17;477;7;261;1569
"350190 AMPARO";274;6744;36;17;24;95;68;16;34;589;2398;10295
"350200 ANALANDIA";3;126;4;-;-;18;21;5;93;10;844;1124
"350210 ANDRADINA";52;1858;1410;26;1538;4680;1132;2214;1959;3128;105;18102
"350220 ANGATUBA";1;214;130;5;5;22;8;56;17;15;786;1259
"350230 ANHEMBI";-;115;3;-;1;7;4;21;8;120;196;475
"350240 ANHUMAS";-;110;83;-;-;11;7;8;292;204;21;736
"350250 APARECIDA";106;1532;54;4;3;150;694;26;56;299;923;3847
"350260 APARECIDA D'OESTE";52;225;113;1;3;62;24;10;392;31;155;1068
"350270 APIAI";-;28;7;-;-;5;-;2;5;1;280;328
"350275 ARACARIGUAMA";18;235;18;1;-;27;2;1;5;125;595;1027
"350280 ARACATUBA";1874;1736;749;109;79;7861;2415;1264;2819;997;2635;22538
"350290 ARACOIABA DA SERRA";47;501;24;4;7;9;40;93;29;62;1185;2001
"350300 ARAMINA";1;8;26;1;121;236;10;-;14;8;20;445
"350310 ARANDU";-;6;-;-;-;5;-;-;-;81;603;695
"350315 ARAPEI";-;95;2;1;-;-;5;-;-;-;133;236
"350320 ARARAQUARA";1694;5557;1855;116;1384;23137;232;367;20929;797;2061;58129
"350330 ARARAS";136;2733;409;29;18;666;889;219;2950;64;1914;10027
"350335 ARCO-IRIS";5;14;5;1;-;36;40;27;106;213;30;477
"350340 AREALVA";6;360;19;1;-;220;8;1;42;382;382;1421
"350350 AREIAS";5;11;5;1;3;7;22;-;4;15;197;270
"350360 AREIOPOLIS";2;459;2;1;-;13;1;1;16;35;707;1237
"350370 ARIRANHA";1;221;21;4;5;71;348;16;68;77;1166;1998
"350380 ARTUR NOGUEIRA";111;980;159;14;125;189;147;62;381;98;1694;3960
"350390 ARUJA";237;1517;214;115;95;609;63;26;105;115;2091;5187
"350395 ASPASIA";9;51;7;-;2;20;11;15;235;30;126;506
"350400 ASSIS";981;4754;130;21;11;2538;941;650;482;3604;6627;20739
"350410 ATIBAIA";1367;1005;107;75;153;427;185;93;1138;659;13366;18575
"350420 AURIFLAMA";60;229;124;8;2;609;177;558;341;23;201;2332
"350430 AVAI";269;256;1;-;-;152;6;12;50;20;19;785
"350440 AVANHANDAVA";17;141;29;5;11;166;57;19;314;51;146;956
"350450 AVARE";3;268;12;2;2;19;16;33;96;339;5596;6386
"350460 BADY BASSITT";40;908;268;31;114;1578;185;909;1207;242;1616;7098
"350470 BALBINOS";-;22;2;-;-;49;-;1;7;162;30;273
"350480 BALSAMO";7;395;93;4;12;437;14;97;449;17;324;1849
"350490 BANANAL";8;395;11;-;1;25;3;6;4;2;656;1111
"350500 BARAO DE ANTONINA";6;4;-;-;-;-;13;5;95;299;76;498
"350510 BARBOSA";37;130;9;4;2;201;33;229;571;165;82;1463
"350520 BARIRI";221;121;7;8;-;180;99;3;20;291;3323;4273
"350530 BARRA BONITA";79;90;24;-;1;158;11;14;344;179;971;1871
"350535 BARRA DO CHAPEU";-;-;-;-;-;1;-;-;-;2;190;193
"350540 BARRA DO TURVO";2;13;11;1;1;1;163;9;12;-;98;311
"350550 BARRETOS";55;863;1347;14;291;5419;52;79;2021;855;3797;14793
"350560 BARRINHA";27;183;404;34;78;979;640;347;488;323;1295;4798
"350570 BARUERI";894;6427;54;5;8;218;39;63;59;170;4606;12543
"350580 BASTOS";25;466;92;6;2;368;762;14;647;1691;62;4135
"350590 BATATAIS";17;666;4184;6;12;573;39;5;1365;788;5619;13274
"350600 BAURU";412;8564;1392;79;294;26249;811;423;3816;14370;15747;72157
"350610 BEBEDOURO";718;6303;101;11;99;681;318;8;528;351;6786;15904
"350620 BENTO DE ABREU";12;16;19;-;-;23;44;27;69;42;116;368
"350630 BERNARDINO DE CAMPOS";3;66;3;-;1;62;12;1;7;40;1000;1195
"350635 BERTIOGA";743;554;808;12;14;50;58;509;157;1426;2206;6537
"350640 BILAC";47;223;336;4;11;808;63;54;176;10;253;1985
"350650 BIRIGUI";3868;4608;4760;85;34;7936;627;630;9663;1777;4088;38076
"350660 BIRITIBA-MIRIM";5;39;36;4;3;155;5;11;61;13;2005;2337
"350670 BOA ESPERANCA DO SUL";806;122;42;1;4;442;52;9;884;1741;229;4332
"350680 BOCAINA";56;81;11;-;2;134;48;-;311;14;181;838
"350690 BOFETE";2;18;42;1;-;2;-;63;4;8;397;537
"350700 BOITUVA";3;906;19;2;2;316;77;562;87;152;4932;7058
"350710 BOM JESUS DOS PERDOES";24;428;8;8;18;23;14;10;67;40;828;1468
