"Tabela 4709 - População residente, Variação absoluta de população residente e Taxa de crescimento geométrico"
"Variável - População residente (Pessoas)"
"Cód.";"Unidade da Federação e Município";"Ano"
"Cód.";"Unidade da Federação e Município";"2022"
"11";"Rondônia";"1581196"
"12";"Acre";"830018"
"13";"Amazonas";"3941613"
"14";"Roraima";"636707"
"15";"Pará";"8120131"
"16";"Amapá";"733759"
"17";"Tocantins";"1511460"
"21";"Maranhão";"6776699"
"22";"Piauí";"3271199"
"23";"Ceará";"8794957"
"24";"Rio Grande do Norte";"3302729"
"25";"Paraíba";"3974687"
"26";"Pernambuco";"9058931"
"27";"Alagoas";"3127683"
"28";"Sergipe";"2210004"
"29";"Bahia";"14141626"
"31";"Minas Gerais";"20539989"
"32";"Espírito Santo";"3833712"
"33";"Rio de Janeiro";"16055174"
"35";"São Paulo";"44411238"
"41";"Paraná";"11444380"
"42";"Santa Catarina";"7610361"
"43";"Rio Grande do Sul";"10882965"
"50";"Mato Grosso do Sul";"2757013"
"51";"Mato Grosso";"3658649"
"52";"Goiás";"7056495"
"53";"Distrito Federal";"2817381"
"3300100";"Angra dos Reis (RJ)";"167434"
"3300159";"Aperibé (RJ)";"11034"
"3300209";"Araruama (RJ)";"129671"
"3300225";"Areal (RJ)";"11828"
"3300233";"Armação dos Búzios (RJ)";"40006"
"3300258";"Arraial do Cabo (RJ)";"30986"
"3300308";"Barra do Piraí (RJ)";"92883"
"3300407";"Barra Mansa (RJ)";"169894"
"3300456";"Belford Roxo (RJ)";"483087"
"3300506";"Bom Jardim (RJ)";"28102"
"3300605";"Bom Jesus do Itabapoana (RJ)";"35173"
"3300704";"Cabo Frio (RJ)";"222161"
"3300803";"Cachoeiras de Macacu (RJ)";"56943"
"3300902";"Cambuci (RJ)";"14616"
"3300936";"Carapebus (RJ)";"13847"
"3300951";"Comendador Levy Gasparian (RJ)";"8741"
"3301009";"Campos dos Goytacazes (RJ)";"483540"
"3301108";"Cantagalo (RJ)";"19390"
"3301157";"Cardoso Moreira (RJ)";"12958"
"3301207";"Carmo (RJ)";"17198"
"3301306";"Casimiro de Abreu (RJ)";"46110"
"3301405";"Conceição de Macabu (RJ)";"21104"
"3301504";"Cordeiro (RJ)";"20783"
"3301603";"Duas Barras (RJ)";"10980"
"3301702";"Duque de Caxias (RJ)";"808161"
"3301801";"Engenheiro Paulo de Frontin (RJ)";"12242"
"3301850";"Guapimirim (RJ)";"51696"
"3301876";"Iguaba Grande (RJ)";"27920"
"3301900";"Itaboraí (RJ)";"224267"
"3302007";"Itaguaí (RJ)";"116841"
"3302056";"Italva (RJ)";"14073"
"3302106";"Itaocara (RJ)";"22919"
"3302205";"Itaperuna (RJ)";"101041"
"3302254";"Itatiaia (RJ)";"30908"
"3302270";"Japeri (RJ)";"96289"
"3302304";"Laje do Muriaé (RJ)";"7336"
"3302403";"Macaé (RJ)";"246391"
"3302452";"Macuco (RJ)";"5415"
"3302502";"Magé (RJ)";"228127"
"3302601";"Mangaratiba (RJ)";"41220"
"3302700";"Maricá (RJ)";"197277"
"3302809";"Mendes (RJ)";"17502"
"3302858";"Mesquita (RJ)";"167127"
"3302908";"Miguel Pereira (RJ)";"26582"
"3303005";"Miracema (RJ)";"26881"
"3303104";"Natividade (RJ)";"15074"
"3303203";"Nilópolis (RJ)";"146774"
"3303302";"Niterói (RJ)";"481749"
"3303401";"Nova Friburgo (RJ)";"189939"
"3303500";"Nova Iguaçu (RJ)";"785867"
"3303609";"Paracambi (RJ)";"41375"
"3303708";"Paraíba do Sul (RJ)";"42063"
"3303807";"Paraty (RJ)";"45243"
"3303856";"Paty do Alferes (RJ)";"29619"
"3303906";"Petrópolis (RJ)";"278881"
"3303955";"Pinheiral (RJ)";"24298"
"3304003";"Piraí (RJ)";"27474"
"3304102";"Porciúncula (RJ)";"17288"
"3304110";"Porto Real (RJ)";"20373"
"3304128";"Quatis (RJ)";"13682"
"3304144";"Queimados (RJ)";"140523"
"3304151";"Quissamã (RJ)";"22393"
"3304201";"Resende (RJ)";"129612"
"3304300";"Rio Bonito (RJ)";"56276"
"3304409";"Rio Claro (RJ)";"17401"
"3304508";"Rio das Flores (RJ)";"8954"
"3304524";"Rio das Ostras (RJ)";"156491"
"3304557";"Rio de Janeiro (RJ)";"6211223"
"3304607";"Santa Maria Madalena (RJ)";"10232"
"3304706";"Santo Antônio de Pádua (RJ)";"41325"
"3304755";"São Francisco de Itabapoana (RJ)";"45059"
"3304805";"São Fidélis (RJ)";"38961"
"3304904";"São Gonçalo (RJ)";"896744"
"3305000";"São João da Barra (RJ)";"36573"
"3305109";"São João de Meriti (RJ)";"440962"
"3305133";"São José de Ubá (RJ)";"7070"
"3305158";"São José do Vale do Rio Preto (RJ)";"22080"
"3305208";"São Pedro da Aldeia (RJ)";"104029"
"3305307";"São Sebastião do Alto (RJ)";"7750"
"3305406";"Sapucaia (RJ)";"17729"
"3305505";"Saquarema (RJ)";"89559"
"3305554";"Seropédica (RJ)";"80596"
"3305604";"Silva Jardim (RJ)";"21352"
"3305703";"Sumidouro (RJ)";"15206"
"3305752";"Tanguá (RJ)";"31086"
"3305802";"Teresópolis (RJ)";"165123"
"3305901";"Trajano de Moraes (RJ)";"10302"
"3306008";"Três Rios (RJ)";"78346"
"3306107";"Valença (RJ)";"68088"
"3306156";"Varre-Sai (RJ)";"10207"
"3306206";"Vassouras (RJ)";"33976"
"3306305";"Volta Redonda (RJ)";"261563"
"3500105";"Adamantina (SP)";"34687"
"3500204";"Adolfo (SP)";"4351"
"3500303";"Aguaí (SP)";"32072"
"3500402";"Águas da Prata (SP)";"7369"
"3500501";"Águas de Lindóia (SP)";"17930"
"3500550";"Águas de Santa Bárbara (SP)";"7177"
"3500600";"Águas de São Pedro (SP)";"2780"
"3500709";"Agudos (SP)";"37680"
"3500758";"Alambari (SP)";"6141"
"3500808";"Alfredo Marcondes (SP)";"4445"
"3500907";"Altair (SP)";"3451"
"3501004";"Altinópolis (SP)";"16818"
"3501103";"Alto Alegre (SP)";"3841"
"3501152";"Alumínio (SP)";"17301"
"3501202";"Álvares Florence (SP)";"3915"
"3501301";"Álvares Machado (SP)";"27255"
"3501400";"Álvaro de Carvalho (SP)";"4808"
"3501509";"Alvinlândia (SP)";"2885"
"3501608";"Americana (SP)";"237240"
"3501707";"Américo Brasiliense (SP)";"33019"
"3501806";"Américo de Campos (SP)";"5870"
"3501905";"Amparo (SP)";"68008"
"3502002";"Analândia (SP)";"4589"
"3502101";"Andradina (SP)";"59783"
"3502200";"Angatuba (SP)";"24022"
"3502309";"Anhembi (SP)";"5674"
"3502408";"Anhumas (SP)";"4023"
"3502507";"Aparecida (SP)";"32569"
"3502606";"Aparecida d'Oeste (SP)";"4086"
"3502705";"Apiaí (SP)";"24585"
"3502754";"Araçariguama (SP)";"21522"
"3502804";"Araçatuba (SP)";"200124"
"3502903";"Araçoiaba da Serra (SP)";"32443"
"3503000";"Aramina (SP)";"5420"
"3503109";"Arandu (SP)";"6885"
"3503158";"Arapeí (SP)";"2330"
"3503208";"Araraquara (SP)";"242228"
"3503307";"Araras (SP)";"130866"
"3503356";"Arco-Íris (SP)";"2044"
"3503406";"Arealva (SP)";"8130"
"3503505";"Areias (SP)";"3577"
"3503604";"Areiópolis (SP)";"10130"
"3503703";"Ariranha (SP)";"7602"
"3503802";"Artur Nogueira (SP)";"51456"
"3503901";"Arujá (SP)";"86678"
"3503950";"Aspásia (SP)";"1842"
"3504008";"Assis (SP)";"101409"
"3504107";"Atibaia (SP)";"158647"
"3504206";"Auriflama (SP)";"13692"
"3504305";"Avaí (SP)";"4483"
"3504404";"Avanhandava (SP)";"11263"
"3504503";"Avaré (SP)";"92805"
"3504602";"Bady Bassitt (SP)";"27260"
"3504701";"Balbinos (SP)";"3887"
"3504800";"Bálsamo (SP)";"9596"
"3504909";"Bananal (SP)";"9969"
"3505005";"Barão de Antonina (SP)";"3531"
"3505104";"Barbosa (SP)";"5640"
"3505203";"Bariri (SP)";"31595"
"3505302";"Barra Bonita (SP)";"34346"
"3505351";"Barra do Chapéu (SP)";"5179"
"3505401";"Barra do Turvo (SP)";"6876"
"3505500";"Barretos (SP)";"122485"
"3505609";"Barrinha (SP)";"32092"
"3505708";"Barueri (SP)";"316473"
"3505807";"Bastos (SP)";"21503"
"3505906";"Batatais (SP)";"58402"
"3506003";"Bauru (SP)";"379146"
"3506102";"Bebedouro (SP)";"76373"
"3506201";"Bento de Abreu (SP)";"2606"
"3506300";"Bernardino de Campos (SP)";"11607"
"3506359";"Bertioga (SP)";"64188"
"3506409";"Bilac (SP)";"7319"
"3506508";"Birigui (SP)";"118979"
"3506607";"Biritiba Mirim (SP)";"29683"
"3506706";"Boa Esperança do Sul (SP)";"12978"
"3506805";"Bocaina (SP)";"11259"
"3506904";"Bofete (SP)";"10460"
"3507001";"Boituva (SP)";"61081"
"3507100";"Bom Jesus dos Perdões (SP)";"22006"
"3507159";"Bom Sucesso de Itararé (SP)";"3555"
"3507209";"Borá (SP)";"907"
"3507308";"Boracéia (SP)";"4715"
"3507407";"Borborema (SP)";"14226"
"3507456";"Borebi (SP)";"2713"
"3507506";"Botucatu (SP)";"145155"
"3507605";"Bragança Paulista (SP)";"176811"
"3507704";"Braúna (SP)";"5356"
"3507753";"Brejo Alegre (SP)";"2565"
"3507803";"Brodowski (SP)";"25201"
"3507902";"Brotas (SP)";"23898"
"3508009";"Buri (SP)";"20250"
"3508108";"Buritama (SP)";"17210"
"3508207";"Buritizal (SP)";"4356"
"3508306";"Cabrália Paulista (SP)";"4299"
"3508405";"Cabreúva (SP)";"47011"
"3508504";"Caçapava (SP)";"96202"
"3508603";"Cachoeira Paulista (SP)";"31564"
"3508702";"Caconde (SP)";"17101"
"3508801";"Cafelândia (SP)";"16654"
"3508900";"Caiabu (SP)";"3712"
"3509007";"Caieiras (SP)";"95032"
"3509106";"Caiuá (SP)";"5466"
"3509205";"Cajamar (SP)";"92689"
"3509254";"Cajati (SP)";"28515"
"3509304";"Cajobi (SP)";"9133"
"3509403";"Cajuru (SP)";"23830"
"3509452";"Campina do Monte Alegre (SP)";"5954"
"3509502";"Campinas (SP)";"1139047"
"3509601";"Campo Limpo Paulista (SP)";"77632"
"3509700";"Campos do Jordão (SP)";"46974"
"3509809";"Campos Novos Paulista (SP)";"4888"
"3509908";"Cananéia (SP)";"12289"
"3509957";"Canas (SP)";"4931"
"3510005";"Cândido Mota (SP)";"29449"
"3510104";"Cândido Rodrigues (SP)";"2889"
"3510153";"Canitar (SP)";"6283"
"3510203";"Capão Bonito (SP)";"46337"
"3510302";"Capela do Alto (SP)";"22866"
"3510401";"Capivari (SP)";"50068"
"3510500";"Caraguatatuba (SP)";"134873"
"3510609";"Carapicuíba (SP)";"386984"
"3510708";"Cardoso (SP)";"11345"
"3510807";"Casa Branca (SP)";"28083"
"3510906";"Cássia dos Coqueiros (SP)";"2799"
"3511003";"Castilho (SP)";"19977"
"3511102";"Catanduva (SP)";"115791"
"3511201";"Catiguá (SP)";"7003"
"3511300";"Cedral (SP)";"12618"
"3511409";"Cerqueira César (SP)";"21469"
"3511508";"Cerquilho (SP)";"44695"
"3511607";"Cesário Lange (SP)";"19048"
"3511706";"Charqueada (SP)";"15535"
"3511904";"Clementina (SP)";"6982"
"3512001";"Colina (SP)";"18486"
"3512100";"Colômbia (SP)";"6629"
"3512209";"Conchal (SP)";"28101"
"3512308";"Conchas (SP)";"15232"
"3512407";"Cordeirópolis (SP)";"24514"
"3512506";"Coroados (SP)";"5400"
"3512605";"Coronel Macedo (SP)";"4280"
"3512704";"Corumbataí (SP)";"4195"
"3512803";"Cosmópolis (SP)";"59773"
"3512902";"Cosmorama (SP)";"8719"
"3513009";"Cotia (SP)";"274413"
"3513108";"Cravinhos (SP)";"33281"
"3513207";"Cristais Paulista (SP)";"9272"
"3513306";"Cruzália (SP)";"2108"
"3513405";"Cruzeiro (SP)";"74961"
"3513504";"Cubatão (SP)";"112476"
"3513603";"Cunha (SP)";"22110"
"3513702";"Descalvado (SP)";"31756"
"3513801";"Diadema (SP)";"393237"
"3513850";"Dirce Reis (SP)";"1620"
"3513900";"Divinolândia (SP)";"11158"
"3514007";"Dobrada (SP)";"8759"
"3514106";"Dois Córregos (SP)";"24510"
"3514205";"Dolcinópolis (SP)";"2207"
"3514304";"Dourado (SP)";"8096"
"3514403";"Dracena (SP)";"45474"
"3514502";"Duartina (SP)";"12328"
"3514601";"Dumont (SP)";"9471"
"3514700";"Echaporã (SP)";"6205"
"3514809";"Eldorado (SP)";"13069"
"3514908";"Elias Fausto (SP)";"17699"
"3514924";"Elisiário (SP)";"3138"
"3514957";"Embaúba (SP)";"2323"
"3515004";"Embu das Artes (SP)";"250691"
"3515103";"Embu-Guaçu (SP)";"66970"
"3515129";"Emilianópolis (SP)";"3014"
"3515152";"Engenheiro Coelho (SP)";"19566"
"3515186";"Espírito Santo do Pinhal (SP)";"39816"
"3515194";"Espírito Santo do Turvo (SP)";"4157"
"3515202";"Estrela d'Oeste (SP)";"9417"
"3515301";"Estrela do Norte (SP)";"2703"
"3515350";"Euclides da Cunha Paulista (SP)";"7924"
"3515400";"Fartura (SP)";"16641"
"3515509";"Fernandópolis (SP)";"71186"
"3515608";"Fernando Prestes (SP)";"5942"
"3515657";"Fernão (SP)";"1656"
"3515707";"Ferraz de Vasconcelos (SP)";"179198"
"3515806";"Flora Rica (SP)";"1487"
"3515905";"Floreal (SP)";"2733"
"3516002";"Flórida Paulista (SP)";"12958"
"3516101";"Florínea (SP)";"3851"
"3516200";"Franca (SP)";"352536"
"3516309";"Francisco Morato (SP)";"165139"
"3516408";"Franco da Rocha (SP)";"144849"
"3516507";"Gabriel Monteiro (SP)";"2763"
"3516606";"Gália (SP)";"6380"
"3516705";"Garça (SP)";"42110"
"3516804";"Gastão Vidigal (SP)";"3252"
"3516853";"Gavião Peixoto (SP)";"4702"
"3516903";"General Salgado (SP)";"10312"
"3517000";"Getulina (SP)";"10232"
"3517109";"Glicério (SP)";"4138"
"3517208";"Guaiçara (SP)";"11239"
"3517307";"Guaimbê (SP)";"5512"
"3517406";"Guaíra (SP)";"39279"
"3517505";"Guapiaçu (SP)";"21711"
"3517604";"Guapiara (SP)";"17071"
"3517703";"Guará (SP)";"18606"
"3517802";"Guaraçaí (SP)";"7441"
"3517901";"Guaraci (SP)";"10350"
"3518008";"Guarani d'Oeste (SP)";"1968"
"3518107";"Guarantã (SP)";"6427"
